year, reading
2004, 7.6
2004, 8.9
2004, 6.8
2004, 8.8
2004, 8.0
2004, 7.3
2004, 9.6
2004, 8.1
2004, 9.1
2004, 8.5
2004, 8.0
2004, 8.7
2004, 8.2
2004, 8.6
2004, 9.5
2004, 8.8
2004, 7.6
2004, 9.3
2004, 8.0
2004, 8.1
2004, 7.7
2004, 8.6
2004, 8.3
2004, 9.4
2004, 8.7
2004, 8.0
2004, 7.9
2004, 8.4
2004, 9.6
2004, 6.9
2004, 8.4
2004, 7.8
2004, 8.2
2004, 8.3
2004, 8.6
2004, 7.3
2004, 8.6
2004, 8.2
2004, 8.3
2004, 7.7
2004, 8.1
2004, 8.2
2004, 8.2
2004, 8.8
2004, 9.0
2004, 8.6
2004, 9.4
2004, 8.6
2004, 8.4
2004, 8.9
2004, 8.1
2004, 9.3
2004, 9.3
2004, 7.6
2004, 8.3
2004, 8.6
2004, 7.8
2004, 8.2
2004, 9.5
2004, 8.5
2004, 8.6
2004, 7.8
2004, 9.2
2004, 8.0
2004, 8.4
2004, 8.6
2004, 8.1
2004, 7.6
2004, 8.3
2004, 8.0
2004, 8.3
2004, 8.2
2004, 8.5
2004, 8.8
2004, 9.1
2004, 7.8
2004, 8.3
1997, 8.4
1997, 8.0
1987, 8.1
2004, 8.9
1987, 8.0
1987, 7.9
1987, 8.5
1998, 8.6
2004, 8.3
1998, 9.0
2004, 8.3
1998, 8.3
2004, 7.7
1987, 8.1
1987, 8.3
2004, 8.0
2004, 9.4
2004, 8.1
2005, 8.1
2005, 8.6
2005, 8.7
2005, 8.9
1987, 8.3
2005, 8.6
2005, 7.3
2005, 8.8
1987, 8.9
2005, 8.8
2005, 7.7
2005, 8.1
2005, 9.3
2005, 8.6
2005, 8.4
1987, 8.6
2005, 8.1
2005, 8.5
1987, 8.6
1986, 7.3
2005, 8.6
2005, 9.6
1996, 8.8
2005, 8.6
1994, 8.7
2005, 8.8
2005, 8.3
1992, 7.9
1992, 8.0
1989, 7.9
2005, 7.3
1990, 8.0
2005, 8.3
2005, 8.0
1991, 8.3
1991, 7.9
2005, 8.1
1992, 8.3
2005, 7.7
1989, 8.7
2000, 8.4
2000, 7.8
2005, 8.3
2000, 8.2
2005, 8.9
2005, 8.0
1997, 9.0
2005, 8.7
2000, 8.0
2005, 8.8
2000, 7.0
1993, 8.3
2005, 8.8
1993, 7.5
2005, 7.6
1993, 8.4
2005, 8.0
1993, 8.2
2005, 7.7
1993, 8.7
1996, 8.4
2005, 8.9
1988, 8.2
1988, 8.1
2005, 8.5
2005, 8.5
2005, 9.0
1988, 8.3
1989, 8.2
2005, 8.6
1988, 8.2
2005, 9.1
1988, 8.1
1988, 8.8
1988, 8.7
2005, 7.8
1984, 6.6
1984, 7.2
2005, 7.3
2005, 8.6
1984, 7.1
1988, 8.6
1984, 6.4
1984, 7.0
1988, 8.3
1988, 8.2
2005, 8.0
1997, 8.2
2005, 8.2
1996, 8.2
1996, 8.9
1999, 8.5
2005, 8.7
1996, 8.8
1998, 8.7
1998, 8.2
2005, 7.8
1998, 7.9
1996, 8.6
1998, 8.4
1995, 8.8
2005, 7.7
1998, 9.2
2005, 8.8
1998, 7.5
2005, 9.1
1998, 8.1
2000, 8.0
1998, 8.1
1999, 8.4
2005, 8.2
2005, 8.7
1998, 7.2
1998, 7.8
1998, 7.9
1998, 8.9
1998, 8.5
1998, 7.8
1998, 7.7
1998, 8.5
1998, 8.0
